,inmueble,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,beneficiarios_alimentos_dif_2014,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,aulas_interactivas_observacion,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,aulas_provisionales_observacion,conectividad,inversion_pec_2013,observacion_pec2013,inversion_pec_2014,observacion_pec2014,inversion_mobiliario,observacion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas
614,1401739D,MEZQUITIC,14DCC0065D,R,MATUTINO,AKERI,MICAELA GONZALEZ ROBLES,PREESCOLAR,15.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 11 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,1401740C,MEZQUITIC,14DPB0050G,R,MATUTINO,JOSE LUIS JAUREGUI,MARTIN GONZALEZ HERNANDEZ,PRIMARIA,100.0,5.0,6.0,5.0,5.0,,390000.0,,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,91379.76,,,,,,,,,500000.0,,,,,,,,,,,,494802.35,,
616,1401741G,MEZQUITIC,14DPB0005U,R,MATUTINO,TIRIVAQUIE,MARCOS BAÃUELOS SANCHEZ,PRIMARIA,77.0,3.0,6.0,3.0,3.0,,,BENEFICIARIOS = 73 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,eMEXICO = 1 MB INSTALADO /,,,,,,,87703.46,,,,,,,,,500000.0,,,,,,,,,,,,494802.35,,
617,1401742K,MEZQUITIC,14DPB0008R,R,MATUTINO,CUITLAHUAC,CLAUDIA REZA GONZALEZ,PRIMARIA,21.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 24 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 2/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 2/ OBSERVACIONES SIN USO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,,,,,,,,78912.29,,,,,,,,,500000.0,,,,,,,,,,,,350000.0,,
618,1401743D,MEZQUITIC,14DPR0663F,R,MATUTINO,JOSE MA MORELOS Y PAVON,MONICA BONILLA PINEDO,PRIMARIA,36.0,2.0,6.0,2.0,2.0,198000.0,288000.0,BENEFICIARIOS = 35 / ALIMENTO CALIENTE,,,,,,,,,,60000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,1401748B,MEZQUITIC,14DCC0002S,R,MATUTINO,TAU,MA. DEL REFUGIO SALVADOR CARRILLO,PREESCOLAR,40.0,2.0,3.0,2.0,2.0,,,BENEFICIARIOS = 39 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
620,1401749F,MEZQUITIC,14DPB0013C,R,MATUTINO,NICOLAS MONTES DE OCA,ALBERTO DIAZ MUÃOZ,PRIMARIA,189.0,10.0,10.0,11.0,10.0,657000.0,747000.0,,,,,,,,,,eJALISCO = 2 MB INSTALADO /eMEXICO = 1 MB INSTALADO /,,,,,,,,,,,997439.0,,,,,,,,,,,,,,,,,,,
621,1401750E,MEZQUITIC,14DPB0046U,R,MATUTINO,GABRIELA MISTRAL,SANTIAGO VAZQUEZ GONZALEZ,PRIMARIA,36.0,2.0,6.0,1.0,1.0,,,BENEFICIARIOS = 34 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,81150.0,,,,,,,,,500000.0,,,,,,,,,,,,416150.0,,
622,1401751X,MEZQUITIC,14DCC0006O,R,MATUTINO,PLAN DE AYUTLA,ROGACIANO HERNANDEZ ROBLES,PREESCOLAR,31.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 31 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
623,1401752B,MEZQUITIC,14DPB0048S,R,MATUTINO,PLAN HUICOT,ISMAEL JIMENEZ FELIPE,PRIMARIA,101.0,4.0,6.0,3.0,3.0,,393000.0,BENEFICIARIOS = 100 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /eMEXICO = 1 MB INSTALADO /,,,,,,,91699.44,,,,,,,,,500000.0,,,,,,,,,,,,588319.99,,
624,1401753F,MEZQUITIC,14DTV0650A,R,MATUTINO,ANDRES QUINTANA ROO,DANIEL ALBERTO REA ESCOBEDO,SECUNDARIA,37.0,2.0,3.0,3.0,3.0,,,BENEFICIARIOS = 38 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /eMEXICO = 1 MB INSTALADO /,,,,,,,81469.72,,,,,,,,,,,,,,,,,,,,,416150.0,,
625,1401754J,MEZQUITIC,14DPB0012D,R,MATUTINO,FRANCISCO VILLA,LEUCADIO CARRILLO CARRILLO,PRIMARIA,51.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 52 / ALIMENTO CALIENTE,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
626,1401755C,MEZQUITIC,14DPB0028E,R,MATUTINO,LUIS ECHEVERRIA ALVAREZ,GUADALUPE SOTO CARRILLO,PRIMARIA,47.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 46 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
627,1401756G,MEZQUITIC,14DPB0086V,R,MATUTINO,TAKUTSI KIYA,FELIX DE LA CRUZ MEJIAZ,PRIMARIA,18.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 18 / ALIMENTO CALIENTE,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
628,1401757K,MEZQUITIC,14DTV0542T,R,MATUTINO,TUKIPA,FRANCISCO MUÃOZ SANCHEZ,SECUNDARIA,46.0,3.0,3.0,3.0,3.0,,,BENEFICIARIOS = 41 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 3/ POR SUSTITUIR USO EDUC = 3/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
629,1401758D,MEZQUITIC,14DPB0031S,R,MATUTINO,JUSTO SIERRA,FELICIANO GUZMAN CARRILLO,PRIMARIA,92.0,4.0,6.0,4.0,4.0,,366000.0,BENEFICIARIOS = 92 / ALIMENTO CALIENTE,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,90101.05,,,,,,,,,500000.0,,,,,,,,,,,,494802.35,,
630,1401759H,MEZQUITIC,14DPB0023J,R,MATUTINO,NICOLAS BRAVO,SANTOS LOPEZ DE LA TORRE,PRIMARIA,85.0,4.0,6.0,4.0,4.0,,345000.0,,,,,,,500000.0,,"TOTAL DE AULAS = 2/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 1/ OBSERVACIONES 1 USO EDUCATIVO, 1 SIN USO EXCELENCIA 2014 (1 A SUSTITUIR)/ SUST 2013 =0/ SUST 2014 =1/ SUST 2015 =0",eMEXICO = 1 MB INSTALADO /,,,,,,,90260.89,,,,,,,,,,,,,,,,,1000000.0,,,,494802.35,,
631,1401760G,MEZQUITIC,14DTV0640U,R,MATUTINO,TEUPA,JOSE ARMANDO COOB SOLIS,SECUNDARIA,27.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,1401761K,MEZQUITIC,14DCC0019S,R,MATUTINO,PARISIKA,MARIA CONCEPCION CARRILLO JIMENEZ,PREESCOLAR,38.0,2.0,3.0,2.0,2.0,,,BENEFICIARIOS = 35 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
633,1401762D,MEZQUITIC,14DPB0052E,R,MATUTINO,CUAUHTEMOC,JUAN TORRES MEJIA,PRIMARIA,127.0,4.0,6.0,4.0,4.0,471000.0,560975.95,BENEFICIARIOS = 123 / ALIMENTO CALIENTE,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,95695.43,,,,996422.0,,,,,,,,,,,,,,,,,588319.99,,
634,1401763H,MEZQUITIC,14DPR0336L,R,MATUTINO,FRANCISCO I MADERO,OSWALDO GONZALEZ MORENO,PRIMARIA,17.0,1.0,5.0,1.0,1.0,,90000.0,BENEFICIARIOS = 17 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,1401764A,MEZQUITIC,14DCC0054Y,R,MATUTINO,JULIO VALENZUELA ROBLES,FLORENTINO ROBLES CARRILLO,PREESCOLAR,18.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 17 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
636,1401765E,MEZQUITIC,14DPB0063K,R,MATUTINO,JUSTO CARRILLO DE LA CRUZ,OLGA TORRES GONZALEZ,PRIMARIA,24.0,1.0,4.0,2.0,1.0,,,BENEFICIARIOS = 24 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 1/ OBSERVACIONES BODEGA, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",eMEXICO = 1 MB INSTALADO /,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
637,1401766X,MEZQUITIC,14DCC0005P,R,MATUTINO,RAPABILIEMETA,AMALIA DIAZ MADERA,PREESCOLAR,23.0,2.0,3.0,2.0,2.0,,,BENEFICIARIOS = 22 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,1401767B,MEZQUITIC,14DPB0049R,R,MATUTINO,TEKATA,GREGORIO ROSALEZ CARRILLO,PRIMARIA,87.0,5.0,6.0,5.0,5.0,351000.0,441000.0,BENEFICIARIOS = 86 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 1/ OBSERVACIONES SIN USO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,eMEXICO = 1 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,1401768F,MEZQUITIC,14DTV0525C,R,MATUTINO,TATUTSI KWIXU XURE,JESUS ANGEL MACIAS NUÃEZ,SECUNDARIA,56.0,3.0,3.0,3.0,3.0,,,BENEFICIARIOS = 54 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 3/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 3/ OBSERVACIONES 2 ADMINISTRATIVAS, 1 BODEGA/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,,,,4560828.93,,,,,,,,,,1000000.0,,,,,,
640,1401769J,MEZQUITIC,14DPB0064J,R,MATUTINO,TA TUTSI,LUIS ADRIAN ORTIZ SALVADOR,PRIMARIA,78.0,4.0,6.0,4.0,4.0,324000.0,414000.0,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
641,1401770X,MEZQUITIC,14DPB0095C,R,MATUTINO,TATEI YURIENAKA,JORGE CARRILLO DIAZ,PRIMARIA,47.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 46 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,82908.27,,,,,,,,,500000.0,,,,,,,,,,,,416150.0,,
642,1401771B,MEZQUITIC,14DCC0007N,R,MATUTINO,AYUKARITA,PAULA MUÃOZ MUÃOZ,PREESCOLAR,23.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 22 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,
643,1401772F,MEZQUITIC,14DPB0047T,R,MATUTINO,LOS HEROES INDIGENAS,CIRILO DE LA CRUZ CARRILLO,PRIMARIA,91.0,3.0,6.0,3.0,3.0,,363000.0,BENEFICIARIOS = 92 / ALIMENTO CALIENTE,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,88182.97,,,,,,,,,500000.0,,,,,,,,,,,,494802.35,,
644,1401773J,MEZQUITIC,14DPB0034P,R,MATUTINO,FRANCISCO I MADERO,RAFAEL COSIO CANDELARIO,PRIMARIA,17.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,78432.77,,,,,,,,,500000.0,,,,,,,,,,,,350000.0,,
645,1401774C,MEZQUITIC,14DCC0052Z,R,MATUTINO,TURAMUKAME,LUZ MARIA MORALES GONZALEZ,PREESCOLAR,27.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 22 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
646,1401775G,MEZQUITIC,14DPB0030T,R,MATUTINO,KUIXIYIWI,RAFAEL MONYOYA DIAZ,PRIMARIA,46.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 46 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 2/ POR SUSTITUIR USO EDUC = 2/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",eMEXICO = 1 MB INSTALADO /,,,,,,,,,,,1099783.0,,,,,,,,,,,,,,,,,,,
647,1401776K,MEZQUITIC,14DCC0015W,R,MATUTINO,TUI MAYEWE,ARTEMIO TORRES PACHECO,PREESCOLAR,56.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
648,1401777D,MEZQUITIC,14DPB0018Y,R,MATUTINO,ADOLFO LOPEZ MATEOS,MARIA TERESA DIAZ MADERA,PRIMARIA,128.0,5.0,6.0,5.0,5.0,474000.0,564000.0,,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,95855.27,,,,,,,,,500000.0,,,,,,,,,,,,588319.99,,
649,1401778H,MEZQUITIC,14DPB0017Z,R,MATUTINO,LUIS ECHEVERRIA ALVAREZ,JUVENTINO CARRILLO CHAVEZ,PRIMARIA,69.0,3.0,6.0,2.0,2.0,297000.0,386936.6,,,,,,,,,,eMEXICO = 1 MB INSTALADO /,,,,,,,86424.74,,,,999809.0,,,,,,,,,,,,,,,,,494802.35,,
650,1401779A,MEZQUITIC,14DCC0020H,R,MATUTINO,TURIÃVAQUIEACARI,HIRMA VALDEZ MONTES,PREESCOLAR,20.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 19 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
651,1401780K,MEZQUITIC,14DPB0001Y,R,MATUTINO,EMILIANO ZAPATA,LUCIANO MUÃOZ CARRILLO,PRIMARIA,70.0,3.0,6.0,3.0,3.0,,,BENEFICIARIOS = 61 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,86264.9,,,,,,,,,500000.0,,,,,,,,,,,,494802.35,,
652,1401781D,MEZQUITIC,14DPB0033Q,R,MATUTINO,FRANCISCO VILLA DE LA CRUZ,MARTHA ROBLES DE LA ROSA,PRIMARIA,14.0,1.0,4.0,1.0,1.0,,,BENEFICIARIOS = 15 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,77633.57,,,,,,,,,500000.0,,,,,,,,,,,,350000.0,,
653,1401782H,MEZQUITIC,14DPB0099Z,R,MATUTINO,VICENTE GUERRERO,SAMUEL CARRILLO BAUTISTA,PRIMARIA,18.0,1.0,4.0,2.0,1.0,,,BENEFICIARIOS = 19 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,1401783A,MEZQUITIC,14DCC0062G,R,MATUTINO,TAMATSI KAUYUMARIE,ROSA GONZALEZ HERNANDEZ,PREESCOLAR,23.0,1.0,2.0,1.0,1.0,,,BENEFICIARIOS = 23 / ALIMENTO FRIO,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,,,,,,685435.02,,,,,,,,,,,,,,
655,1401784E,MEZQUITIC,14DPB0098Z,R,MATUTINO,HAIMATSIE,GLORIA DE LA CRUZ CARRILLO,PRIMARIA,84.0,4.0,6.0,4.0,2.0,342000.0,430721.01,BENEFICIARIOS = 57 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
656,1401785X,MEZQUITIC,14DPB0097A,R,MATUTINO,CERRO DE LOS NIÃOS,JOSE DE LA CRUZ CARRILLO,PRIMARIA,45.0,2.0,6.0,2.0,1.0,,,BENEFICIARIOS = 43 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",eMEXICO = 1 MB INSTALADO /,,,,,,,82588.59,,,,,,,,,500000.0,,,,,,,,,,,,,,
657,1401787F,MEZQUITIC,14DCC0018T,R,MATUTINO,TATEI MATINIERE,HERMELINDA GONZALEZ CARRILLO,PREESCOLAR,51.0,2.0,3.0,2.0,2.0,,,BENEFICIARIOS = 36 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
658,1401788J,MEZQUITIC,14DPB0015A,R,MATUTINO,FRAY BARTOLOME DE LAS CASAS,CASIANO LARA LOPEZ,PRIMARIA,170.0,6.0,6.0,7.0,6.0,600000.0,689800.0,,,,,,,,,,INTERNET PARTICULAR /,,,,,,,102568.0,,,,999536.0,,,,,,,,,,,,,,,,,588319.99,,
659,1401789C,MEZQUITIC,14DTV0462H,R,MATUTINO,JOSE MA MORELOS Y PAVON,LUIS ALONSO MEZA SALCEDO,SECUNDARIA,124.0,6.0,6.0,6.0,6.0,,,BENEFICIARIOS = 115 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,95056.0,,,,,,,,,,,,,,,,,,,,,588319.99,,
660,1401791F,MEZQUITIC,14DCC0004Q,R,MATUTINO,PARIYATSIE,SAMUEL MUÃOZ GONZALEZ,PREESCOLAR,29.0,2.0,3.0,2.0,2.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,999532.0,,,,,300000.0,,,,,,,,,,,,,,
661,1401792J,MEZQUITIC,14DPB0038L,R,MATUTINO,JOSE MA MORELOS Y PAVON,JESUS CARRILLO GONZALEZ,PRIMARIA,60.0,4.0,6.0,4.0,4.0,,270000.0,BENEFICIARIOS = 59 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,84986.0,,,,1199792.0,,,,,,,,,,,,,,,,,494802.35,,
662,1401793C,MEZQUITIC,14DTV0607M,R,MATUTINO,PLAN HUICOT,LIDIA YAZMIN CARRILLO CASTILLO,SECUNDARIA,37.0,3.0,3.0,3.0,3.0,,,BENEFICIARIOS = 37 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 3/ POR SUSTITUIR USO EDUC = 3/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,1401795K,MEZQUITIC,14DCC0063F,R,MATUTINO,T++RI WAKIE,JULIA BAUTISTA LARA,PREESCOLAR,14.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 13 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,1401796D,MEZQUITIC,14DPB0103V,R,MATUTINO,WERIKA,JESUS BAUTISTA SANCHEZ,PRIMARIA,48.0,2.0,5.0,2.0,2.0,,,BENEFICIARIOS = 49 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,83068.0,,,,,,,,,500000.0,,,,,,,,,,,,416150.0,,
665,1401797H,MEZQUITIC,14DCC0064E,R,MATUTINO,HUKUPA,EDITH MORALES MUÃOZ,PREESCOLAR,16.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 16 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
666,1401798A,MEZQUITIC,14DPB0104U,R,MATUTINO,NUNUTSI,FIDEL VALDEZ LOPEZ,PRIMARIA,31.0,2.0,5.0,1.0,1.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
667,1401801K,MEZQUITIC,14DCC0055X,R,MATUTINO,TATEI KIE,ANGELINA GONZALEZ DE LA CRUZ,PREESCOLAR,11.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 13 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
668,1411151F,MEZQUITIC,14DES0118R,R,MATUTINO,TATUUTSI MAXAKWAXI,CARLOS SALVADOR DIAZ,SECUNDARIA,125.0,9.0,6.0,6.0,6.0,,,,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,1412094X,MEZQUITIC,14DPB0105T,R,MATUTINO,FERNANDO BANDA ITURRIOS,JUAN DIAZ MADERA,PRIMARIA,27.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 24 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
670,1412096F,MEZQUITIC,14DCC0047O,R,MATUTINO,AITSARIE,ROSALIO GONZALEZ MINJAREZ,PREESCOLAR,12.0,1.0,2.0,1.0,1.0,,,BENEFICIARIOS = 12 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,
671,1412100X,MEZQUITIC,14DCC0066C,R,MATUTINO,JOSE CORNEJO FRANCO,MARTHA SANCHEZ DE LA CRUZ,PREESCOLAR,29.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,999943.0,,,,,,,,,,,,,,,,,,,
672,1412597D,MEZQUITIC,14DTV0656V,R,MATUTINO,MARIA DEL REFUGIO SANCHEZ REYES,CARLOS HUMBERTO LOPEZ BRAMASCO,SECUNDARIA,28.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,79871.32,,,,,,,,,500000.0,,,,,,,,,,,,416150.0,,
673,1412751G,MEZQUITIC,14DPB0107R,R,MATUTINO,SALVADOR NOVO,ELEOBARDO BENJAMIN DE LA CRUZ DE LA CRUZ,PRIMARIA,39.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 39 / ALIMENTO CALIENTE,,,,,,,,,,100000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=39,,,,,81629.56,,,,,,,,,500000.0,,,,,,,,,,,,416150.0,,
674,1412753D,MEZQUITIC,14DPB0106S,R,MATUTINO,IYARI,JERONIMO MARTINEZ GONZALEZ,PRIMARIA,24.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 22 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,79072.13,,,,,,,,,500000.0,,,,,,,,,,,,350000.0,,
675,1413881X,MEZQUITIC,14DPB0110E,R,MATUTINO,ALFREDO LOPEZ AUSTIN,CRISERIO GONZALEZ LOPEZ,PRIMARIA,40.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 41 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,81789.4,,,,,,,,,,,,,,,,,,,,,416150.0,,
676,1408943D,SAN CRISTOBAL DE LA BARRANCA,14DJN0694I,R,MATUTINO,FRANCISCO I MADERO,OLIVIA LLAMAS ANDRADE,PREESCOLAR,24.0,1.0,2.0,3.0,1.0,,,BENEFICIARIOS = 23 / ALIMENTO FRIO,,,,,,,,,,,,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=26,,,,,,,,,,,,,,,,,,,,,,,,,,
677,1408944H,SAN CRISTOBAL DE LA BARRANCA,14EES0539Z,R,MATUTINO,FRANCISCO MEDINA ASCENCIO,MARTIN RAMIREZ LARA,SECUNDARIA,84.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,eJALISCO = 2 MB INSTALADO /,90000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=84,69000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=93,,,,,,,,,,,,,,,,,,,,,,,,,,
